priority_rank,candidate_id,validation_tier,humanization_priority,overall_sequence_triage_score,developability_score,humanness_proxy_score,recommended_next_step,reason
11,pres_7tckIrdh48jvmrRIDKW2,top50_validated_selective_B,humanize_after_binding_confirmed_standard,83.55,75.0,94,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk moderate; flags: extreme_predicted_pI;deamidation_motif;dg_isomerization_motif;cdr3_proxy_proline.
12,pres_RESS7z0WRULc89tA2qTY,top50_validated_selective_B,humanize_after_binding_confirmed_standard,84.35,83.0,86,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk moderate; flags: extreme_predicted_pI;deamidation_motif;dg_isomerization_motif.
13,pres_SfWyhjrHayJss4IaEaRK,marco_confident_but_offtarget_risk,optional_if_selected_as_backup,93.95,89.0,100,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk low; flags: dg_isomerization_motif;methionine_oxidation_liability;cdr3_proxy_proline.
14,pres_8o5yagl8GeytVQNtkMFa,top50_validated_selective_B,humanize_after_binding_confirmed_standard,85.2,78.0,94,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk moderate; flags: extreme_predicted_pI;dg_isomerization_motif;methionine_oxidation_liability;cdr3_proxy_proline.
15,pres_PRVOBeiU3zvrDKHXaGnu,top50_validated_selective_B,humanize_after_binding_confirmed_standard,80.5,76.0,86,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk moderate; flags: deamidation_motif;methionine_oxidation_liability;cdr3_proxy_proline.
16,pres_atX04pGTXmAjskypxY49,top50_validated_selective_B,humanize_after_binding_confirmed_standard,90.3,84.0,98,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk moderate; flags: extreme_predicted_pI;deamidation_motif;methionine_oxidation_liability.
17,pres_EZoV78yHit3sQ3rBaLdK,marco_confident_but_offtarget_risk,optional_if_selected_as_backup,79.25,77.0,82,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk moderate; flags: extreme_predicted_pI;dg_isomerization_motif;methionine_oxidation_liability;cdr3_proxy_proline.
18,pres_jYILUUMrIZoLcT8j18vn,marco_confident_but_offtarget_risk,optional_if_selected_as_backup,83.55,75.0,94,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk moderate; flags: extreme_predicted_pI;deamidation_motif;dg_isomerization_motif;cdr3_proxy_proline.
19,pres_dg0cFSW9o5McXscKEzHX,marco_confident_but_offtarget_risk,optional_if_selected_as_backup,97.45,97.0,98,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk low; flags: methionine_oxidation_liability.
20,pres_rgETTPRI1vpWt51ARqyH,marco_confident_but_offtarget_risk,optional_if_selected_as_backup,86.7,84.0,90,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk moderate; flags: extreme_predicted_pI;dg_isomerization_motif;cdr3_proxy_proline.
21,pres_LgonVxPviu0gO5h9A3kA,marco_confident_but_offtarget_risk,optional_if_selected_as_backup,85.75,79.0,94,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk moderate; flags: extreme_predicted_pI;dg_isomerization_motif;methionine_oxidation_liability.
22,pres_6oROWx3G7YCh4zwEZCKx,marco_confident_but_offtarget_risk,optional_if_selected_as_backup,83.4,78.0,90,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk moderate; flags: extreme_predicted_pI;dg_isomerization_motif;methionine_oxidation_liability;cdr3_proxy_proline.
23,pres_t9BJw8MufJhEMNUBxgAD,marco_confident_but_offtarget_risk,optional_if_selected_as_backup,81.75,75.0,90,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk moderate; flags: extreme_predicted_pI;dg_isomerization_motif;methionine_oxidation_liability.
24,pres_wdAiWB3McCcc38PAlOKH,marco_confident_but_offtarget_risk,optional_if_selected_as_backup,82.15,79.0,86,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk moderate; flags: extreme_predicted_pI;deamidation_motif;dg_isomerization_motif.
25,pres_oMcpFbUiRPUQyWA7YtJZ,marco_confident_but_offtarget_risk,optional_if_selected_as_backup,83.65,85.0,82,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk low; flags: extreme_predicted_pI;methionine_oxidation_liability;cdr3_proxy_proline.
26,pres_I45QWRzKrOXi0srlUSJj,lower_validation_confidence,optional_if_selected_as_backup,74.3,68.0,82,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk elevated; flags: deamidation_motif;dg_isomerization_motif;methionine_oxidation_liability;cdr3_proxy_proline.
27,pres_cf889qmcdaFumH1ByqNa,marco_confident_but_offtarget_risk,optional_if_selected_as_backup,80.5,76.0,86,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk moderate; flags: extreme_predicted_pI;deamidation_motif;dg_isomerization_motif;methionine_oxidation_liability;cdr3_proxy_proline.
28,pres_dPB3Jm1eGneOG1RWXBTk,lower_validation_confidence,optional_if_selected_as_backup,78.7,76.0,82,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk moderate; flags: extreme_predicted_pI;deamidation_motif;dg_isomerization_motif;methionine_oxidation_liability;cdr3_proxy_proline.
29,pres_fVKxKckvTNipUrboSORR,marco_confident_but_offtarget_risk,optional_if_selected_as_backup,83.1,84.0,82,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk moderate; flags: deamidation_motif;dg_isomerization_motif;methionine_oxidation_liability;cdr3_proxy_proline.
30,pres_qmvG8YvpiJb6mKI0w9zc,marco_confident_but_offtarget_risk,optional_if_selected_as_backup,82.45,73.0,94,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk moderate; flags: extreme_predicted_pI;dg_isomerization_motif;methionine_oxidation_liability;cdr3_proxy_proline.
31,pres_1LLmyU2Y1EsuD0uiaErt,marco_confident_but_offtarget_risk,optional_if_selected_as_backup,87.25,85.0,90,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk low; flags: extreme_predicted_pI;methionine_oxidation_liability;cdr3_proxy_proline.
32,pres_USYAeeYrWvEt6YOeh28x,marco_confident_but_offtarget_risk,optional_if_selected_as_backup,83.25,81.0,86,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk moderate; flags: extreme_predicted_pI;dg_isomerization_motif;methionine_oxidation_liability;cdr3_proxy_proline.
33,pres_RgGWmEVQeEVgBJLq9i8p,marco_confident_but_offtarget_risk,optional_if_selected_as_backup,89.05,85.0,94,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk low; flags: extreme_predicted_pI;dg_isomerization_motif;methionine_oxidation_liability.
34,pres_5vdSDmUoQUpmffx3TuZ7,marco_confident_but_offtarget_risk,optional_if_selected_as_backup,90.0,90.0,90,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk low; flags: dg_isomerization_motif;methionine_oxidation_liability.
35,pres_6AaivaGyQ6GWtN9Hpbca,marco_confident_but_offtarget_risk,optional_if_selected_as_backup,83.65,85.0,82,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk low; flags: extreme_predicted_pI;dg_isomerization_motif;methionine_oxidation_liability.
36,pres_Z6YAUMgkqamdHkDbbeNA,marco_confident_but_offtarget_risk,optional_if_selected_as_backup,81.6,78.0,86,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk moderate; flags: dg_isomerization_motif;methionine_oxidation_liability;cdr3_proxy_proline.
37,pres_Bzl9sL1K1FTPMmUmSBfb,marco_confident_but_offtarget_risk,do_not_humanize_until_binding_confirmed,73.0,64.0,84,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk elevated; flags: moderate_hydrophobic_fraction;extreme_predicted_pI;deamidation_motif;dg_isomerization_motif;methionine_oxidation_liability;cdr3_proxy_proline.
38,pres_4XpQD8sOi1SFGgVp895H,marco_confident_but_offtarget_risk,optional_if_selected_as_backup,86.85,81.0,94,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk moderate; flags: extreme_predicted_pI;dg_isomerization_motif;methionine_oxidation_liability;cdr3_proxy_proline.
39,pres_lE9wbGW5ZkbjyOLSLVCV,marco_confident_but_offtarget_risk,optional_if_selected_as_backup,86.85,81.0,94,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk moderate; flags: deamidation_motif;dg_isomerization_motif;methionine_oxidation_liability;cdr3_proxy_proline.
40,pres_TGMZaZPoRcVRPwp4ySl4,lower_validation_confidence,optional_if_selected_as_backup,84.9,84.0,86,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk moderate; flags: extreme_predicted_pI;dg_isomerization_motif;cdr3_proxy_proline.
41,pres_gEG1pxmYdznCzAiwtiy4,lower_validation_confidence,optional_if_selected_as_backup,86.7,84.0,90,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk moderate; flags: extreme_predicted_pI;dg_isomerization_motif;cdr3_proxy_proline.
42,pres_g1JkUuOUMmWv2aTIfTh2,marco_confident_but_offtarget_risk,optional_if_selected_as_backup,86.55,87.0,86,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk low; flags: deamidation_motif;dg_isomerization_motif;cdr3_proxy_proline.
43,pres_2uzE6Q5N0q6urrqGPLXp,lower_validation_confidence,optional_if_selected_as_backup,78.7,76.0,82,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk moderate; flags: extreme_predicted_pI;dg_isomerization_motif;cdr3_proxy_proline.
44,pres_YaCEpjuiY4tsi2Xb0yyY,marco_confident_but_offtarget_risk,optional_if_selected_as_backup,86.7,84.0,90,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk moderate; flags: dg_isomerization_motif;cdr3_proxy_proline.
45,pres_DkDIsOZ7u6cbgZQZUDPc,marco_confident_but_offtarget_risk,optional_if_selected_as_backup,85.05,81.0,90,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk moderate; flags: extreme_predicted_pI;dg_isomerization_motif;methionine_oxidation_liability;cdr3_proxy_proline.
46,pres_WwzPirvtkZE1J06gh7h3,marco_confident_but_offtarget_risk,optional_if_selected_as_backup,81.45,81.0,82,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk moderate; flags: extreme_predicted_pI;dg_isomerization_motif;methionine_oxidation_liability;cdr3_proxy_proline.
47,pres_NGPaSbFqqw6ZhNw5FMqa,marco_confident_but_offtarget_risk,optional_if_selected_as_backup,85.9,76.0,98,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk moderate; flags: extreme_predicted_pI;deamidation_motif;dg_isomerization_motif;methionine_oxidation_liability.
48,pres_LAfuSvNjDzuOLCk3Qost,marco_confident_but_offtarget_risk,optional_if_selected_as_backup,81.4,76.0,88,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk moderate; flags: moderate_hydrophobic_fraction;extreme_predicted_pI;dg_isomerization_motif;cdr3_proxy_proline.
49,pres_mjNQuh1ApKCHkGoj4IyL,lower_validation_confidence,optional_if_selected_as_backup,79.15,67.0,94,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk elevated; flags: extreme_predicted_pI;deamidation_motif;dg_isomerization_motif;methionine_oxidation_liability;cdr3_proxy_proline.
50,pres_CWZqR9eYDeDFdEHfnzIc,lower_validation_confidence,optional_if_selected_as_backup,71.4,66.0,78,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk elevated; flags: extreme_predicted_pI;deamidation_motif;dg_isomerization_motif;methionine_oxidation_liability;cdr3_proxy_proline.
